lyric,album
Knew he was a killer first time that I saw him,reputation
Wondered how many girls he had loved and left haunted,reputation
"But if he's a ghost, then I can be a phantom",reputation
Holdin' him for ransom,reputation
"Some, some boys are tryin' too hard, he don't try at all, though",reputation
"Younger than my exes, but he act like such a man, so",reputation
"I see nothing better, I keep him forever",reputation
Like a vendetta-ta,reputation
"I, I, I see how this is gon' go",reputation
Touch me and you'll never be alone,reputation
"I, island breeze and lights down low",reputation
No one has to know,reputation
"In the middle of the night, in my dreams",reputation
"You should see the things we do, baby, mmm",reputation
"In the middle of the night, in my dreams",reputation
"I know I'm gonna be with you, so I take my time",reputation
Are you ready for it?,reputation
Knew I was a robber first time that he saw me,reputation
Stealing hearts and running off and never sayin' sorry,reputation
"But if I'm a thief, then he can join the heist, and",reputation
"We'll move to an island, and",reputation
And he can be my jailer,reputation
Burton to this Taylor,reputation
Every love I've known in comparison is a failure,reputation
I forget their names now,reputation
I'm so very tame now,reputation
"Never be the same now, now",reputation
"I, I, I see how this is gon' go",reputation
Touch me and you'll never be alone,reputation
"I, island breeze and lights down low",reputation
No one has to know (No one has to know),reputation
"In the middle of the night, in my dreams",reputation
"You should see the things we do, baby, mmm",reputation
"In the middle of the night, in my dreams",reputation
"I know I'm gonna be with you, so I take my time",reputation
Are you ready for it? (Oh),reputation
Are you ready for it?,reputation
"Baby, let the games begin",reputation
Let the games begin,reputation
Let the games begin,reputation
"Baby, let the games begin",reputation
Let the games begin,reputation
Let the games begin,reputation
"I, I, I see how this is gon' go",reputation
Touch me and you'll never be alone,reputation
"I, island breeze and lights down low",reputation
No one has to know,reputation
"In the middle of the night, in my dreams (my dreams)",reputation
"You should see the things we do, baby, mmm (yeah)",reputation
"In the middle of the night, in my dreams (my dreams)",reputation
"I know I'm gonna be with you, so I take my time",reputation
In the middle of the night,reputation
"Baby, let the games begin",reputation
Let the games begin,reputation
Let the games begin,reputation
Are you ready for it?,reputation
"Baby, let the games begin",reputation
Let the games begin,reputation
Let the games begin,reputation
Are you ready for it?,reputation
It feels like a perfect night to dress up like hipsters,red
"And make fun of our exes, uh uh uh uh",red
It feels like a perfect night for breakfast at midnight,red
"To fall in love with strangers, uh uh uh uh",red
Yeaaaah,red
We're happy free confused and lonely at the same time,red
"It's miserable and magical, oh-yeah",red
Tonight's the night when we forget about the deadlines,red
"It's time, uh uh",red
I don't know about you but I'm feeling 22,red
Everything will be alright if you keep me next to you,red
You don't know about me but I bet you want to,red
"Everything will be alright if we just keep dancing like we're 22, 22",red
It seems like one of those nights,red
This place is too crowded too many cool kids,red
(Who's Taylor Swift anyway? Ugh),red
It seems like one of those nights,red
We ditch the whole scene and end up dreaming instead of sleeping,red
Yeaaaah,red
We're happy free confused and lonely in the best way,red
"It's miserable and magical, oh-yeah",red
Tonight's the night when we forget about the heartbreaks,red
"It's time, uh uh",red
I don't know about you but im feeling 22,red
Everything will be alright if you keep me next to you,red
You don't know about me but I bet you want to,red
"Everything will be alright if we just keep dancing like we're 22, 22",red
"I don't know about you 22, 22",red
It feels like one of those nights,red
We ditch the whole scene,red
It feels like one of those nights,red
We won't be sleeping,red
It feels like one of those nights,red
"You look like bad news, I gotta have you, I gotta have you",red
I don't know about you but im feeling 22,red
Everything will be alright if you keep me next to you,red
You don't know about me but I bet you want to,red
"Everything will be alright if we just keep dancing like we're 22, 22",red
Dancing like 22,red
"Yeah, 22, yeah yeah",red
It feels like one of those nights,red
We ditch the whole scene,red
It feels like one of those nights,red
We won't be sleeping,red
It feels like one of those nights,red
"You look like bad news I gotta have you, I gotta have you",red
We were both young when I first saw you,fearless
I close my eyes & the flashback starts,fearless
I'm standing there on a balcony in summer air,fearless
"See the lights, see the party, the ball gowns",fearless
See you make your way through the crowd,fearless
"And say ""Hello"", little did I know...",fearless
"That you were Romeo, you were throwing pebbles",fearless
"And my daddy said, ""Stay away from Juliet""",fearless
And I was crying on the staircase,fearless
"Begging you ""Please don't go"", & I said...",fearless
"Romeo, take me somewhere we can be alone",fearless
I'll be waiting; all that's left to do is run,fearless
You'll be the prince & I'll be the princess,fearless
"It's a love story baby, just say ""Yes""",fearless
So I sneak out to the garden to see you,fearless
We keep quiet 'cause we're dead if they knew,fearless
"So close your eyes, escape this town for a little while",fearless
"'Cause you were Romeo, I was a scarlet letter",fearless
"And my daddy said ""Stay away from Juliet""",fearless
But you were everything to me,fearless
"I was begging you ""Please don't go"", & I said...",fearless
"Romeo, take me somewhere we can be alone",fearless
I'll be waiting; all that's left to do is run,fearless
You'll be the prince & I'll be the princess,fearless
"It's a love story baby, just say ""Yes""",fearless
"Romeo save me, they're trying to tell me how to feel",fearless
This love is difficult but it's real,fearless
"Don't be afraid, we'll make it out of this mess",fearless
"It's a love story baby, just say ""Yes""",fearless
...,fearless
I got tired of waiting,fearless
Wondering if you were ever coming around,fearless
My faith in you was fading,fearless
When I met you on the outskirts of town,fearless
And I said...,fearless
"Romeo, save me, I've been feeling so alone",fearless
I keep waiting for you but you never come,fearless
Is this in my head? I don't know what to think,fearless
He knelt to the ground & pulled out a ring & said,fearless
"Marry me, Juliet, you'll never have to be alone",fearless
I love you & that's all I really know,fearless
"I talked to your dad, go pick out a white dress",fearless
"It's a love story baby, just say ""Yes""",fearless
Oh oh oh,fearless
'Cause we were both young when I first saw you,fearless
Why would you wanna break a perfectly good heart?,taylor swift
"Why would you wanna take our love and tear it all apart, now?",taylor swift
Why would you wanna make the very first scar?,taylor swift
Why would you wanna break a perfectly good heart?,taylor swift
"Maybe I should've seen the signs, should've read the writing on the wall",taylor swift
And realized by the distance in your eyes that I would be the one to fall,taylor swift
"No matter what you say, I still can't believe",taylor swift
That you would walk away,taylor swift
"It don't make sense to me, but",taylor swift
Why would you wanna break a perfectly good heart?,taylor swift
"Why would you wanna take our love and tear it all apart,now?",taylor swift
Why would you wanna make the very first scar?,taylor swift
Why would you wanna break a perfectly good heart?,taylor swift
It's not unbroken anymore,taylor swift
How do I get it back the way it was before?,taylor swift
Why would you wanna break a perfectly good heart?,taylor swift
"Why would you wanna take our love and tear it all apart, now?",taylor swift
Why would you wanna make the very first scar?,taylor swift
Why would you wanna break a perfectly good heart?,taylor swift
Why would you wanna break a perfectly good heart?,taylor swift
"Why would you wanna take our love and tear it all apart, now?",taylor swift
Why would you wanna make the very first scar?,taylor swift
Why would you wanna break a perfectly good heart?,taylor swift
I don't know what I want,taylor swift
So don't ask me,taylor swift
'Cause I'm still trying to figure it out,taylor swift
Don't know what's down this road,taylor swift
I'm just walking,taylor swift
Trying to see through the rain coming down,taylor swift
Even though I'm not the only one who feels the way I do,taylor swift
"I'm alone, on my own",taylor swift
and that's all I know,taylor swift
"I'll be strong, I'll be wrong",taylor swift
"Oh, but life goes on",taylor swift
"Oh, I'm just a girl trying to find a place in this world",taylor swift
"Got the radio on, my old blue jeans",taylor swift
And I'm wearing my heart on my sleeve,taylor swift
"Feeling lucky today, got the sunshine",taylor swift
Can you tell me what more do I need,taylor swift
"And tomorrow's just a mystery, oh, yeah, but that's okay",taylor swift
"I'm alone, on my own",taylor swift
And that's all I know,taylor swift
"I'll be strong, I'll be wrong",taylor swift
"Oh, but life goes on",taylor swift
"Oh, I'm just a girl trying to find a place in this world",taylor swift
Maybe I'm just a girl on a mission but I'm ready to fly,taylor swift
"I'm alone, on my own",taylor swift
And that's all I know,taylor swift
"I'll be strong, I'll be wrong",taylor swift
"Oh, but life goes on",taylor swift
"Oh, I'm alone, on my own",taylor swift
And I don't know,taylor swift
"Oh, I'm just a girl trying to find a place in this world",taylor swift
"Oh, I'm just a girl",taylor swift
