lyric,genre,album
Knew he was a killer first time that I saw him,pop,reputation
Wondered how many girls he had loved and left haunted,pop,reputation
"But if he's a ghost, then I can be a phantom",pop,reputation
Holdin' him for ransom,pop,reputation
"Some, some boys are tryin' too hard, he don't try at all, though",pop,reputation
"Younger than my exes, but he act like such a man, so",pop,reputation
"I see nothing better, I keep him forever",pop,reputation
Like a vendetta-ta,pop,reputation
"I, I, I see how this is gon' go",pop,reputation
Touch me and you'll never be alone,pop,reputation
"I, island breeze and lights down low",pop,reputation
No one has to know,pop,reputation
"In the middle of the night, in my dreams",pop,reputation
"You should see the things we do, baby, mmm",pop,reputation
"In the middle of the night, in my dreams",pop,reputation
"I know I'm gonna be with you, so I take my time",pop,reputation
Are you ready for it?,pop,reputation
Knew I was a robber first time that he saw me,pop,reputation
Stealing hearts and running off and never sayin' sorry,pop,reputation
"But if I'm a thief, then he can join the heist, and",pop,reputation
"We'll move to an island, and",pop,reputation
And he can be my jailer,pop,reputation
Burton to this Taylor,pop,reputation
Every love I've known in comparison is a failure,pop,reputation
I forget their names now,pop,reputation
I'm so very tame now,pop,reputation
"Never be the same now, now",pop,reputation
"I, I, I see how this is gon' go",pop,reputation
Touch me and you'll never be alone,pop,reputation
"I, island breeze and lights down low",pop,reputation
No one has to know (No one has to know),pop,reputation
"In the middle of the night, in my dreams",pop,reputation
"You should see the things we do, baby, mmm",pop,reputation
"In the middle of the night, in my dreams",pop,reputation
"I know I'm gonna be with you, so I take my time",pop,reputation
Are you ready for it? (Oh),pop,reputation
Are you ready for it?,pop,reputation
"Baby, let the games begin",pop,reputation
Let the games begin,pop,reputation
Let the games begin,pop,reputation
"Baby, let the games begin",pop,reputation
Let the games begin,pop,reputation
Let the games begin,pop,reputation
"I, I, I see how this is gon' go",pop,reputation
Touch me and you'll never be alone,pop,reputation
"I, island breeze and lights down low",pop,reputation
No one has to know,pop,reputation
"In the middle of the night, in my dreams (my dreams)",pop,reputation
"You should see the things we do, baby, mmm (yeah)",pop,reputation
"In the middle of the night, in my dreams (my dreams)",pop,reputation
"I know I'm gonna be with you, so I take my time",pop,reputation
In the middle of the night,pop,reputation
"Baby, let the games begin",pop,reputation
Let the games begin,pop,reputation
Let the games begin,pop,reputation
Are you ready for it?,pop,reputation
"Baby, let the games begin",pop,reputation
Let the games begin,pop,reputation
Let the games begin,pop,reputation
Are you ready for it?,pop,reputation
It feels like a perfect night to dress up like hipsters,,red
"And make fun of our exes, uh uh uh uh",,red
It feels like a perfect night for breakfast at midnight,,red
"To fall in love with strangers, uh uh uh uh",,red
Yeaaaah,,red
We're happy free confused and lonely at the same time,,red
"It's miserable and magical, oh-yeah",,red
Tonight's the night when we forget about the deadlines,,red
"It's time, uh uh",,red
I don't know about you but I'm feeling 22,,red
Everything will be alright if you keep me next to you,,red
You don't know about me but I bet you want to,,red
"Everything will be alright if we just keep dancing like we're 22, 22",,red
It seems like one of those nights,,red
This place is too crowded too many cool kids,,red
(Who's Taylor Swift anyway? Ugh),,red
It seems like one of those nights,,red
We ditch the whole scene and end up dreaming instead of sleeping,,red
Yeaaaah,,red
We're happy free confused and lonely in the best way,,red
